itemsets, count
"whole milk", 2513
"other vegetables", 1903
"rolls/buns", 1809
"soda", 1715
"yogurt", 1372
"bottled water", 1087
"root vegetables", 1072
"tropical fruit", 1032
"shopping bags", 969
"sausage", 924
"pastry", 875
"citrus fruit", 814
"bottled beer", 792
"newspapers", 785
"canned beer", 764
"pip fruit", 744
"whole milk,other vegetables", 736
"fruit/vegetable juice", 711
"whipped/sour cream", 705
"brown bread", 638
"domestic eggs", 624
"frankfurter", 580
"margarine", 576
"coffee", 571
"pork", 567
"whole milk,rolls/buns", 557
"yogurt,whole milk", 551
"butter", 545
"curd", 524
"beef", 516
"napkins", 515
"chocolate", 488
"whole milk,root vegetables", 481
"frozen vegetables", 473
"other vegetables,root vegetables", 466
"yogurt,other vegetables", 427
"chicken", 422
"other vegetables,rolls/buns", 419
"tropical fruit,whole milk", 416
"white bread", 414
"whole milk,soda", 394
"cream cheese ", 390
"waffles", 378
"rolls/buns,soda", 377
"salty snack", 372
"long life bakery product", 368
"dessert", 365
"tropical fruit,other vegetables", 353
"yogurt,rolls/buns", 338
"whole milk,bottled water", 338
"sugar", 333
"UHT-milk", 329
"whole milk,pastry", 327
"hamburger meat", 327
"berries", 327
"hygiene articles", 324
"other vegetables,soda", 322
"whole milk,whipped/sour cream", 317
"onions", 305
"rolls/buns,sausage", 301
"citrus fruit,whole milk", 300
"specialty chocolate", 299
"whole milk,pip fruit", 296
"whole milk,domestic eggs", 295
"whole milk,sausage", 294
"candy", 294
"tropical fruit,yogurt", 288
"bottled water,soda", 285
"citrus fruit,other vegetables", 284
"other vegetables,whipped/sour cream", 284
"misc. beverages", 279
"frozen meals", 279
"oil", 276
"butter milk", 275
"whole milk,butter", 271
"yogurt,soda", 269
"whole milk,newspapers", 269
"specialty bar", 269
"other vegetables,sausage", 265
"whole milk,fruit/vegetable juice", 262
"whole milk,curd", 257
"pip fruit,other vegetables", 257
"beverages", 256
"ham", 256
"yogurt,root vegetables", 254
"meat", 254
"whole milk,brown bread", 248
"ice cream", 246
"other vegetables,bottled water", 244
"tropical fruit,rolls/buns", 242
"soda,shopping bags", 242
"whole milk,shopping bags", 241
"hard cheese", 241
"sliced cheese", 241
"rolls/buns,root vegetables", 239
"soda,sausage", 239
"margarine,whole milk", 238
"rolls/buns,bottled water", 238
"cat food", 229
"other vegetables,shopping bags", 228
"whole milk,other vegetables,root vegetables", 228
"yogurt,bottled water", 226
"other vegetables,pastry", 222
"grapes", 220
"other vegetables,domestic eggs", 219
"yogurt,whole milk,other vegetables", 219
"whole milk,pork", 218
"citrus fruit,yogurt", 213
"other vegetables,pork", 213
"whole milk,beef", 209
"tropical fruit,root vegetables", 207
"other vegetables,fruit/vegetable juice", 207
"soda,pastry", 207
"chewing gum", 207
"rolls/buns,pastry", 206
"tropical fruit,soda", 205
"yogurt,whipped/sour cream", 204
"whole milk,frankfurter", 202
"tropical fruit,pip fruit", 201
"whole milk,bottled beer", 201
"whole milk,frozen vegetables", 201
"other vegetables,butter", 197
"citrus fruit,tropical fruit", 196
"margarine,other vegetables", 194
"whole milk,napkins", 194
"other vegetables,beef", 194
"rolls/buns,newspapers", 194
"yogurt,sausage", 193
"rolls/buns,shopping bags", 192
"other vegetables,newspapers", 190
"rolls/buns,frankfurter", 189
"detergent", 189
"red/blush wine", 189
"white wine", 187
"yogurt,fruit/vegetable juice", 184
"coffee,whole milk", 184
"other vegetables,brown bread", 184
"soda,root vegetables", 183
"tropical fruit,bottled water", 182
"soda,fruit/vegetable juice", 181
"yogurt,pip fruit", 177
"other vegetables,chicken", 176
"whole milk,other vegetables,rolls/buns", 176
"pickled vegetables", 176
"other vegetables,frozen vegetables", 175
"citrus fruit,root vegetables", 174
"yogurt,pastry", 174
"semi-finished bread", 174
"baking powder", 174
"whole milk,chicken", 173
"dishes", 173
"beef,root vegetables", 171
"flour", 171
"yogurt,curd", 170
"pot plants", 170
"other vegetables,curd", 169
"whole milk,white bread", 168
"root vegetables,whipped/sour cream", 168
"tropical fruit,whole milk,other vegetables", 168
"soft cheese", 168
"bottled beer,soda", 167
"citrus fruit,rolls/buns", 165
"whole milk,chocolate", 164
"processed cheese", 163
"whole milk,cream cheese ", 162
"other vegetables,frankfurter", 162
"herbs", 160
"other vegetables,bottled beer", 159
"bottled beer,bottled water", 155
"rolls/buns,domestic eggs", 154
"bottled water,root vegetables", 154
"sausage,shopping bags", 154
"pip fruit,root vegetables", 153
"yogurt,whole milk,rolls/buns", 153
"yogurt,newspapers", 151
"yogurt,shopping bags", 150
"tropical fruit,yogurt,whole milk", 149
"whole milk,sugar", 148
"canned fish", 148
"pasta", 148
"root vegetables,sausage", 147
"margarine,rolls/buns", 145
"whole milk,hamburger meat", 145
"yogurt,butter", 144
"rolls/buns,whipped/sour cream", 144
"soda,newspapers", 144
"whole milk,other vegetables,whipped/sour cream", 144
"yogurt,brown bread", 143
"rolls/buns,fruit/vegetable juice", 143
"yogurt,whole milk,root vegetables", 143
"other vegetables,napkins", 142
"yogurt,domestic eggs", 141
"root vegetables,domestic eggs", 141
"margarine,yogurt", 140
"other vegetables,onions", 140
"bottled water,fruit/vegetable juice", 140
"seasonal products", 140
"tropical fruit,sausage", 137
"pip fruit,rolls/buns", 137
"whole milk,other vegetables,soda", 137
"citrus fruit,pip fruit", 136
"tropical fruit,whipped/sour cream", 136
"other vegetables,hamburger meat", 136
"soda,canned beer", 136
"tropical fruit,fruit/vegetable juice", 135
"whole milk,dessert", 135
"cream cheese ,other vegetables", 135
"other vegetables,white bread", 135
"rolls/buns,bottled beer", 134
"rolls/buns,beef", 134
"root vegetables,pork", 134
"citrus fruit,bottled water", 133
"tropical fruit,shopping bags", 133
"whole milk,long life bakery product", 133
"chocolate,soda", 133
"whole milk,pip fruit,other vegetables", 133
"coffee,other vegetables", 132
"butter,rolls/buns", 132
"pip fruit,soda", 131
"tropical fruit,pastry", 130
"cake bar", 130
"citrus fruit,whole milk,other vegetables", 128
"packaged fruit/vegetables", 128
"butter,root vegetables", 127
"yogurt,other vegetables,root vegetables", 127
"citrus fruit,soda", 126
"whole milk,hygiene articles", 126
"root vegetables,shopping bags", 126
"whole milk,waffles", 125
"other vegetables,chocolate", 125
"whole milk,rolls/buns,root vegetables", 125
"rolls/buns,brown bread", 124
"soda,brown bread", 124
"pastry,sausage", 123
"yogurt,cream cheese ", 122
"yogurt,frozen vegetables", 122
"soda,domestic eggs", 122
"yogurt,napkins", 121
"tropical fruit,yogurt,other vegetables", 121
"tropical fruit,other vegetables,root vegetables", 121
"whole milk,other vegetables,domestic eggs", 121
"other vegetables,rolls/buns,root vegetables", 120
"whole milk,onions", 119
"bottled water,sausage", 118
"soda,napkins", 118
"fruit/vegetable juice,root vegetables", 118
"tropical fruit,whole milk,root vegetables", 118
"mustard", 118
"soda,pork", 117
"pastry,shopping bags", 117
"tropical fruit,newspapers", 116
"whole milk,berries", 116
"rolls/buns,chocolate", 116
"yogurt,beef", 115
"rolls/buns,napkins", 115
"frozen fish", 115
"whole milk,butter milk", 114
"other vegetables,dessert", 114
"soda,whipped/sour cream", 114
"root vegetables,frozen vegetables", 114
"whole milk,ham", 113
"newspapers,root vegetables", 113
"yogurt,other vegetables,rolls/buns", 113
"whole milk,other vegetables,butter", 113
"tropical fruit,domestic eggs", 112
"canned beer,shopping bags", 112
"cling film/bags", 112
"citrus fruit,sausage", 111
"whole milk,oil", 111
"rolls/buns,canned beer", 111
"rolls/buns,pork", 111
"bottled water,newspapers", 111
"frankfurter,soda", 111
"yogurt,frankfurter", 110
"whole milk,salty snack", 110
"spread cheese", 110
"margarine,root vegetables", 109
"liquor", 109
"coffee,rolls/buns", 108
"bottled water,shopping bags", 108
"pastry,root vegetables", 108
"tropical fruit,whole milk,rolls/buns", 108
"citrus fruit,whipped/sour cream", 107
"curd,root vegetables", 107
"chicken,root vegetables", 107
"yogurt,whole milk,whipped/sour cream", 107
"whole milk,sliced cheese", 106
"pip fruit,sausage", 106
"other vegetables,sugar", 106
"other vegetables,salty snack", 106
"whole milk,other vegetables,bottled water", 106
"frozen dessert", 106
"salt", 106
"canned vegetables", 106
"tropical fruit,brown bread", 105
"pip fruit,pastry", 105
"other vegetables,long life bakery product", 105
"fruit/vegetable juice,shopping bags", 105
"sausage,brown bread", 105
"yogurt,berries", 104
"pip fruit,bottled water", 104
"whole milk,other vegetables,pastry", 104
"curd,whipped/sour cream", 103
"yogurt,whole milk,soda", 103
"whole milk,other vegetables,fruit/vegetable juice", 103
"dish cleaner", 103
"citrus fruit,fruit/vegetable juice", 102
"citrus fruit,domestic eggs", 102
"other vegetables,butter milk", 102
"citrus fruit,other vegetables,root vegetables", 102
"flower (seeds)", 102
"margarine,bottled water", 101
"tropical fruit,curd", 101
"other vegetables,berries", 101
"white bread,soda", 101
"citrus fruit,yogurt,whole milk", 101
"condensed milk", 101
"roll products ", 101
"margarine,soda", 100
"butter,whipped/sour cream", 100
"rolls/buns,frozen vegetables", 100
"frankfurter,root vegetables", 100
"root vegetables,brown bread", 100
"yogurt,other vegetables,whipped/sour cream", 100
"whole milk,other vegetables,sausage", 100
"whole milk,other vegetables,pork", 100
